SYMBOL,change_24012026
20MICRONS,-1.1613438407299923
21STCENMGM,-1.2021857923497206
360ONE,0.5572755417956616
3IINFOLTD,1.0006671114076076
3MINDIA,0.4737295434969853
3PLAND,1.378378378378373
5PAISA,-3.3730696288268884
63MOONS,8.31774243841597
A2ZINFRA,-2.060439560439565
AAATECH,8.441496009999039
AADHARHFC,1.055822705415014
AAKASH,1.562499999999988
AAREYDRUGS,-1.593081474738275
AARON,4.774386818947766
AARTECH,-0.27761253222288435
AARTIDRUGS,1.810422863054442
AARTIIND,1.410811565861157
AARTIPHARM,1.4325507361719152
AARTISURF,5.41476249826894
AARVI,-0.7339449541284464
AAVAS,-0.3306240528998453
ABB,-1.624405705229794
ABBOTINDIA,-1.02184637068358
ABCAPITAL,-1.2385643912737445
ABCOTS,0.012221950623308366
ABDL,-0.6375321336760972
ABFRL,-1.3322567622123658
ABGSEC,-0.3955056179775261
ABINFRA,3.858695652173918
ABLBL,-1.7428832268237981
ABMINTLLTD,-2.9555384219994827
ABREL,-1.108774612884717
ABSLAMC,2.535123321885726
ABSLBANETF,0.1976284584980312
ABSLLIQUID,0.0
ABSLNN50ET,-0.4168982768204519
ABSLPSE,0.29644268774704685
ACC,0.035155563367897644
ACCELYA,0.3445635528330781
ACCURACY,0.18621973929236102
ACE,-0.2700118130168169
ACEINTEG,-1.4932802389248419
ACI,-0.9018619084561742
ACL,0.9467455621301784
ACMESOLAR,0.5686906680995927
ACUTAAS,0.4056069191768538
ADANIENSOL,-1.9350089388999872
ADANIENT,-0.6032418493276805
ADANIGREEN,-0.5837401825514753
ADANIPORTS,-1.0322133702805742
ADANIPOWER,0.5893082643468525
ADFFOODS,-0.3803258467389529
ADL,-1.3021175851637443
ADOR,-1.7957780112713897
ADROITINFO,1.209677419354831
ADSL,1.6453240201785058
ADVANCE,-0.49779205138497823
ADVANIHOTR,0.8432630614115507
ADVENTHTL,0.9424083769633477
ADVENZYMES,1.7888460189407103
AEGISLOG,-2.3987601913617618
AEGISVOPAK,1.668137687555164
AEQUS,-1.4752957550452166
AEROENTER,0.22684310018904452
AEROFLEX,-2.353260869565224
AERONEU,3.1650864472950304
AETHER,0.5130028443722133
AFCONS,1.504499437570294
AFFLE,0.39376918177080056
AFFORDABLE,-0.9093326243020515
AFIL,0.17391304347825717
AFSL,0.25373134328357755
AGARIND,-2.8449002528800227
AGARWALEYE,-0.03997601439136291
AGI,-3.314019219898254
AGIIL,-0.9981070383755064
AGROPHOS,-3.7584240539139344
AHCL,0.966219206372602
AHLADA,-3.4722222222222197
AHLEAST,-3.0355846042120396
AHLUCONT,0.23432269582681423
AIAENG,-2.0492625664693556
AIIL,-78.4451042406248
AIRAN,0.3069367710251732
AIROLAM,-0.526592943654555
AJANTPHARM,0.04030042132258322
AJAXENGG,0.06089074460682373
AJMERA,-1.172829451050667
AJOONI,-0.24449877750610727
AKASH,-3.0040053404539453
AKG,-0.6405124099279429
AKI,2.2690437601296543
AKSHAR,0.0
AKSHARCHEM,1.9240212490513826
AKSHOPTFBR,0.6644518272425255
AKUMS,-0.10128291694800555
AKZOINDIA,-1.1375585508077708
ALANKIT,-0.19249278152070595
ALBERTDAVD,-1.36497702174361
ALEMBICLTD,0.6029021050480312
ALGOQUANT,-2.902887924584764
ALICON,-0.6051632009270498
ALIVUS,-1.2335943220864003
ALKALI,-0.7691304914613339
ALKEM,-0.059655701380603374
ALKYLAMINE,4.197930142302723
ALLCARGO,1.9301470588235208
ALLDIGI,-1.1655997101099138
ALLTIME,-1.7273288093769348
ALMONDZ,-1.7191977077363938
ALOKINDS,1.7307692307692282
ALPA,-3.6165635923635358
ALPHA,0.14821088291340312
ALPHAETF,-0.3627569528415956
ALPHAGEO,0.9834579651030987
ALPL30IETF,-0.2148227712137441
AMANTA,-0.6967363403007015
AMBER,0.44128462858543765
AMBICAAGAR,0.7168458781361996
AMBIKCO,2.0351526364477377
AMBUJACEM,-0.19491368108410398
AMDIND,-2.9890698193174132
AMJLAND,1.4291632145816027
AMNPLST,-1.7285014269560108
AMRUTANJAN,-0.1145944176148065
ANANDRATHI,0.654596545007504
ANANTRAJ,-0.33424223766383865
ANDHRAPAP,1.1204481792717067
ANDHRSUGAR,0.1124543154343524
ANGELONE,2.9892336922102674
ANIKINDS,-6.788626845933433
ANMOL,-1.9926199261992719
ANTELOPUS,2.308762169680114
ANTGRAPHIC,2.061855670103095
ANTHEM,1.90984866877073
ANUHPHR,-3.5732451678535124
ANUP,-3.0182984342576873
ANURAS,1.8889481300936821
AONEGOLD,-0.07610350076103338
AONELIQUID,0.013428226131337649
AONENIFTY,-0.5660377358490614
AONETMMQ50,-0.10405827263267209
AONETOTAL,-0.3372681281618815
APARINDS,-2.8874222617083385
APCL,3.764514458989722
APCOTEXIND,0.6531307681385805
APEX,0.01830831197361938
APLAPOLLO,0.020999580008404607
APLLTD,0.5270422888693745
APOLLO,-0.9747364233140994
APOLLOHOSP,0.5915938639334113
APOLLOPIPE,-1.0540632437946353
APOLLOTYRE,3.3353186420488408
APOLSINHOT,-0.10145945524076755
APTECHT,0.03417634996582494
APTUS,0.10952902519167995
ARCHIDPLY,-0.9980497877710274
ARCHIES,-1.827527127355798
ARE&M,-0.7652056490181686
ARENTERP,5.6825899932080555
ARFIN,0.3684145892177295
ARIES,2.6230569948186417
ARIHANTCAP,0.9905499259934015
ARIHANTSUP,-1.7677974199713367
ARISINFRA,0.3290936582762522
ARKADE,0.1252054151342019
ARMANFIN,-0.0911517676932151
AROGRANITE,0.06985679357317351
